mes,site,Medio_de_pago,Incoming_amt,Incoming_qty,Status,BUYER_TYPE,FREQUENCY_MP,LIFECYCLE,SPENDER_TYPE
NULL,MCO,credit card,46.08,1,Rej. by PF,Repeat Buyer,,active_buyer_mid,ultra_high_spender
May,MCO,credit card,25.24,1,Approved,Repeat Buyer,,active_buyer_high,ultra_high_spender
NULL,MCO,debit card,138.76,1,Rej. by Risk Bank - App. by PF,New Buyer,,onboarding,high_spender
April,MCO,credit card,16.42,1,Approved,Repeat Buyer,,active_buyer_low,mid_spender
NULL,MCO,debit card,17.52,1,Approved,Repeat Buyer,,active_buyer_high,ultra_high_spender
May,MCO,credit card,55.02,1,Approved,Repeat Buyer,,active_buyer_high,ultra_high_spender
May,MCO,debit card,78.48,1,Insufficient Amount,New Buyer,,active_buyer_low,mid_high_spender
May,MCO,debit card,18.44,1,Approved,Repeat Buyer,,active_buyer_mid,high_spender
April,MCO,debit card,78.22,1,Approved,Repeat Buyer,,active_buyer_high,high_spender
May,MCO,debit card,15.09,1,Approved,Repeat Buyer,,onboarding,low_spender
May,MCO,debit card,15.39,1,Approved,New Buyer,,onboarding,ultra_high_spender
April,MCO,bank transfer,18.15,1,Approved,Repeat Buyer,,onboarding,ultra_high_spender
April,MCO,credit card,19.12,1,Approved,Repeat Buyer,,active_buyer_low,mid_spender
April,MCO,credit card,2183.82,1,Rej. by PF,Repeat Buyer,,active_buyer_low,ultra_high_spender
April,MCO,credit card,6.92,1,Approved,Repeat Buyer,,active_buyer_high,ultra_high_spender
NULL,MCO,credit card,46.08,1,Rej. by PF,New Buyer,,active_buyer_mid,ultra_high_spender
May,MCO,credit card,65.96,1,Approved,Repeat Buyer,,active_buyer_low,mid_high_spender
April,MCO,credit card,21.24,1,Rej. by Risk Bank - App. by PF,Repeat Buyer,,active_buyer_high,ultra_high_spender
April,MCO,bank transfer,21.1,1,Approved,New Buyer,,onboarding,ultra_high_spender
NULL,MCO,account_money,13.14,1,Approved,Repeat Buyer,,active_buyer_low,low_spender
April,MCO,credit card,82.23,1,Approved,Repeat Buyer,,active_buyer_high,high_spender
May,MCO,credit card,48.29,1,Approved,Repeat Buyer,,active_buyer_high,ultra_high_spender
April,MCO,bank transfer,15.43,1,Rej. by Bank Other,New Buyer,,active_buyer_low,low_spender
May,MCO,bank transfer,13.67,1,Approved,Repeat Buyer,,active_buyer_low,mid_spender
May,MCO,credit card,16.13,1,Approved,Repeat Buyer,,active_buyer_high,high_spender
April,MCO,debit card,16.46,1,Approved,Repeat Buyer,,active_buyer_high,ultra_high_spender
April,MCO,bank transfer,18.15,1,Approved,New Buyer,,onboarding,ultra_high_spender
April,MCO,bank transfer,15.36,1,Approved,Repeat Buyer,,active_buyer_mid,mid_spender
April,MCO,credit card,40.05,1,Approved,Repeat Buyer,,active_buyer_high,ultra_high_spender
April,MCO,credit card,18.44,1,Rej. Blacklist,Repeat Buyer,,active_buyer_high,high_spender
April,MCO,debit card,31.57,1,Approved,Repeat Buyer,,active_buyer_mid,mid_high_spender
May,MLA,digital_currency,60.17,1,Approved,New Buyer,POWER USER,onboarding,mid_low_spender
May,MLA,prepaid_card,51.18,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
May,MLA,credit card,63.37,1,Rej. by Risk Bank - App. by PF,New Buyer,POWER USER,active_buyer_low,mid_spender
April,MLA,credit card,20.8,1,Approved,Repeat Buyer,POWER USER,active_buyer_low,mid_low_spender
May,MLA,account_money,333.96,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLA,credit card,50.01,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_high_spender
April,MLA,credit card,168.75,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLA,credit card,55.8,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLA,account_money,15.56,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
