mes,site,Medio_de_pago,Incoming_amt,Incoming_qty,Status
Abril,MCO,debit card,315102.53,4049,Rej. Blacklist
Mayo,MCO,credit card,600394.43,6030,Rej. by User Error
Abril,MCO,bank transfer,836916.15,2646,Rej. by PF
Abril,MCO,credit card,462893.05,4024,Rej. by User Error
Abril,MCO,debit card,1132699.6,10361,Insufficient Amount
fuera_de_rango,MCO,credit card,81818.99,984,Rej. by Risk Bank - App. by PF
Mayo,MCO,bank transfer,666186.06,17276,Cancelled
Mayo,MCO,credit card,108546.65,1185,Rej. by Bank Other
fuera_de_rango,MCO,bank transfer,84111.72,116,Rej. by PF
fuera_de_rango,MCO,account_money,2117.1,193,Cancelled
Mayo,MCO,debit card,1367437.33,11511,Insufficient Amount
Abril,MCO,ticket,2677425.09,58844,Approved
fuera_de_rango,MCO,debit card,23507.44,86,Rej. by PF
Abril,MCO,credit card,1859878.01,8106,Rej. by PF
Mayo,MCO,bank transfer,4068223.57,81168,Rej. by Bank Other
Abril,MCO,ticket,22098.52,126,Rej. by PF
fuera_de_rango,MCO,credit card,1708264.61,34924,Approved
fuera_de_rango,MCO,credit card,44767.85,588,Rej. Blacklist
Abril,MCO,bank transfer,14027596.92,434482,Approved
Abril,MCO,debit card,372003.42,2465,Rej. by User Error
Mayo,MCO,credit card,1405178.92,16552,Rej. by Risk Bank - App. by PF
Mayo,MCO,ticket,2107899.15,37479,Cancelled
Mayo,MCO,account_money,41960.3,2659,Cancelled
Mayo,MCO,credit card,1848831.65,7080,Rej. by PF
Abril,MCO,bank transfer,3698911.92,75576,Rej. by Bank Other
Mayo,MCO,debit card,17333.35,246,Rej. by Bank Other
Mayo,MCO,account_money,5373.9,62,Rej. by PF
fuera_de_rango,MCO,debit card,49453.13,710,Rej. by Risk Bank - App. by PF
Mayo,MCO,credit card,28187058.18,581710,Approved
fuera_de_rango,MCO,ticket,135034.72,2595,Cancelled
Mayo,MCO,debit card,479574.51,3924,Rej. by User Error
Abril,MCO,account_money,32412.06,2574,Cancelled
Abril,MCO,credit card,24664370.89,532660,Approved
Mayo,MCO,bank transfer,15390241.9,468952,Approved
fuera_de_rango,MCO,ticket,51125.39,991,Pending
Mayo,MCO,account_money,1594536.22,57235,Approved
fuera_de_rango,MCO,bank transfer,1017525.51,31284,Approved
Abril,MCO,debit card,619227.68,8687,Rej. by Risk Bank - App. by PF
Mayo,MCO,credit card,740378.7,8303,Rej. Blacklist
Abril,MCO,debit card,388260.2,1528,Rej. by PF
Abril,MCO,credit card,42079.35,551,Rej. by Bank Other
fuera_de_rango,MCO,credit card,110263.46,1075,Insufficient Amount
Abril,MCO,debit card,4223.19,9,Rej. by Risk Bank - Rej. by PF
Abril,MCO,credit card,55080.07,482,Cancelled
fuera_de_rango,MCO,debit card,25412.88,220,Rej. by User Error
Mayo,MCO,credit card,62018.61,540,Cancelled
fuera_de_rango,MCO,account_money,96256.94,3518,Approved
fuera_de_rango,MCO,debit card,6094.43,22,Cancelled
Mayo,MCO,credit card,1639955.47,16942,Insufficient Amount
Mayo,MCO,debit card,628772.09,8965,Rej. by Risk Bank - App. by PF
fuera_de_rango,MCO,debit card,745342.87,19965,Approved
fuera_de_rango,MCO,credit card,5008.5,54,Rej. by Bank Other
Abril,MCO,credit card,1187283.15,15123,Rej. by Risk Bank - App. by PF
Abril,MCO,debit card,6195.24,93,Rej. by Bank Other
Mayo,MCO,debit card,441245.22,1388,Rej. by PF
Abril,MCO,debit card,10299224.28,274812,Approved
fuera_de_rango,MCO,debit card,117.56,4,Rej. by Bank Other
fuera_de_rango,MCO,bank transfer,48890.04,1273,Cancelled
Mayo,MCO,debit card,261838.07,2574,Rej. Blacklist
fuera_de_rango,MCO,credit card,82.35,2,Rej. by Risk Bank - Rej. by PF
Mayo,MCO,ticket,2805876.14,59542,Approved
Mayo,MCO,debit card,28586.13,264,Cancelled
fuera_de_rango,MCO,ticket,173732.67,3688,Approved
fuera_de_rango,MCO,credit card,3180.15,19,Cancelled
Abril,MCO,bank transfer,696690.22,18389,Cancelled
Mayo,MCO,prepaid_card,1169.07,2,Rej. by Risk Bank - Rej. by PF
Mayo,MCO,prepaid_card,725.28,8,Rej. by Risk Bank - App. by PF
Mayo,MCO,credit card,84577.46,182,Rej. by Risk Bank - Rej. by PF
Mayo,MCO,ticket,609917.92,11615,Pending
Mayo,MCO,debit card,11565686.01,294929,Approved
Mayo,MCO,prepaid_card,28.55,2,Rej. by User Error
Abril,MCO,credit card,1458954.42,15713,Insufficient Amount
Abril,MCO,account_money,1442205.41,54639,Approved
Abril,MCO,debit card,37597.67,348,Cancelled
fuera_de_rango,MCO,debit card,11.08,1,Rej. by Risk Bank - Rej. by PF
Mayo,MCO,ticket,38671.83,164,Rej. by PF
fuera_de_rango,MCO,credit card,35634.78,320,Rej. by User Error
fuera_de_rango,MCO,debit card,86168.92,724,Insufficient Amount
Abril,MCO,account_money,80319.65,89,Rej. by PF
fuera_de_rango,MCO,account_money,149.64,5,Rej. by PF
Abril,MCO,ticket,2577722.58,48834,Cancelled
Mayo,MCO,bank transfer,1189608.29,1981,Rej. by PF
fuera_de_rango,MCO,ticket,632.12,7,Rej. by PF
Abril,MCO,credit card,31607.92,88,Rej. by Risk Bank - Rej. by PF
fuera_de_rango,MCO,bank transfer,284315.38,5718,Rej. by Bank Other
fuera_de_rango,MCO,credit card,115744.08,438,Rej. by PF
Mayo,MCO,prepaid_card,467.92,22,Approved
fuera_de_rango,MCO,debit card,17987.32,274,Rej. Blacklist
Abril,MCO,credit card,668118.61,9365,Rej. Blacklist
Mayo,MCO,debit card,6264.38,14,Rej. by Risk Bank - Rej. by PF
Mayo,MEC,credit card,8302.56,95,Rej. by User Error
Mayo,MEC,credit card,20951.94,150,Insufficient Amount
Mayo,MEC,debit card,15339.16,218,Rej. by Risk Bank - App. by PF
Mayo,MEC,credit card,125,1,Rej. by Risk Bank - Rej. by PF
fuera_de_rango,MEC,credit card,1093.5,8,Insufficient Amount
Abril,MEC,credit card,16835.72,126,Rej. by User Error
fuera_de_rango,MEC,debit card,10541.57,237,Approved
Abril,MEC,ticket,3734.8,38,Approved
Abril,MEC,account_money,4.1,1,Rej. by PF
Abril,MEC,credit card,223278.15,3107,Approved
Abril,MEC,account_money,2407.73,94,Approved
fuera_de_rango,MEC,debit card,4073.79,14,Insufficient Amount
Mayo,MEC,debit card,5443.34,92,Rej. by User Error
Abril,MEC,debit card,187163.6,4288,Approved
Mayo,MEC,debit card,44422.41,321,Insufficient Amount
fuera_de_rango,MEC,ticket,49.99,1,Approved
fuera_de_rango,MEC,credit card,8345,145,Approved
fuera_de_rango,MEC,account_money,296.31,4,Approved
Abril,MEC,credit card,3629.92,15,Cancelled
Abril,MEC,account_money,339.3,33,Cancelled
Mayo,MEC,credit card,4535.13,30,Rej. Blacklist
Abril,MEC,credit card,23037.86,178,Insufficient Amount
Abril,MEC,debit card,6070.78,100,Rej. by Bank Other
Mayo,MEC,credit card,3559.97,33,Rej. by Bank Other
fuera_de_rango,MEC,debit card,118.15,4,Rej. by User Error
fuera_de_rango,MEC,debit card,9272.28,26,Rej. by PF
fuera_de_rango,MEC,credit card,74.48,3,Rej. by Bank Other
fuera_de_rango,MEC,credit card,9053.44,24,Rej. by PF
Abril,MEC,credit card,15464.68,178,Rej. by Risk Bank - App. by PF
fuera_de_rango,MEC,credit card,1487.8,13,Rej. by Risk Bank - App. by PF
Mayo,MEC,debit card,191257.58,4201,Approved
Mayo,MEC,credit card,40681.35,371,Rej. by Risk Bank - App. by PF
Mayo,MEC,credit card,184657.06,630,Rej. by PF
Abril,MEC,credit card,171750.98,574,Rej. by PF
Mayo,MEC,debit card,1633.04,10,Cancelled
Abril,MEC,credit card,5090.98,31,Rej. by Bank Other
Mayo,MEC,credit card,199553.49,2698,Approved
Abril,MEC,debit card,9735.3,144,Rej. by Risk Bank - App. by PF
Mayo,MEC,debit card,6653.7,44,Rej. Blacklist
Mayo,MEC,ticket,11538.55,49,Cancelled
fuera_de_rango,MEC,credit card,220.9,4,Rej. by User Error
Mayo,MEC,debit card,10898.52,96,Rej. by Bank Other
Mayo,MEC,ticket,220.82,7,Approved
Mayo,MEC,debit card,161997.78,591,Rej. by PF
Abril,MEC,debit card,3732.88,13,Cancelled
Mayo,MEC,credit card,2374.16,8,Cancelled
Abril,MEC,debit card,36195.68,294,Insufficient Amount
fuera_de_rango,MEC,debit card,491.88,6,Rej. by Risk Bank - App. by PF
Mayo,MEC,account_money,2318.68,73,Approved
Abril,MEC,debit card,158115.93,605,Rej. by PF
fuera_de_rango,MEC,ticket,4549.13,16,Cancelled
Abril,MEC,ticket,111559.59,362,Cancelled
Mayo,MEC,account_money,349.29,22,Cancelled
fuera_de_rango,MEC,debit card,139.63,6,Rej. by Bank Other
Abril,MEC,credit card,1593.63,26,Rej. Blacklist
fuera_de_rango,MEC,debit card,100.23,4,Rej. Blacklist
Abril,MEC,debit card,3846.98,54,Rej. Blacklist
Abril,MEC,debit card,5498.87,74,Rej. by User Error
Abril,MLA,bank transfer,3091667.34,30474,Insufficient Amount
Mayo,MLA,debit card,294019.91,4229,Rej. Blacklist
Abril,MLA,credit card,31742476.79,203039,Rej. by Risk Bank - App. by PF
Mayo,MLA,credit card,117738973.66,546724,Insufficient Amount
fuera_de_rango,MLA,prepaid_card,284686.37,2180,Insufficient Amount
Abril,MLA,ticket,13097286.51,147572,Approved
Abril,MLA,ticket,11174700.74,130445,Cancelled
Abril,MLA,debit card,4363166.7,24988,Rej. by PF
Abril,MLA,bank transfer,6515885.44,115379,Approved
Abril,MLA,prepaid_card,65336.26,707,Rej. by Bank Other
Abril,MLA,prepaid_card,12711236.82,229945,Approved
Mayo,MLA,ticket,14402340.19,164740,Approved
fuera_de_rango,MLA,bank transfer,649236.6,12700,Approved
Mayo,MLA,credit card,38386.13,199,Rej. by Risk Bank - Rej. by PF
Mayo,MLA,prepaid_card,81038.07,805,Rej. by Bank Other
Abril,MLA,debit card,849195.66,11148,Rej. by Bank Other
fuera_de_rango,MLA,account_money,14454890.99,288461,Approved
Mayo,MLA,digital_currency,228.95,4,Rej. by User Error
Abril,MLA,debit card,15697.7,120,Rej. by Risk Bank - Rej. by PF
Mayo,MLA,account_money,1658026.67,38433,Cancelled
Abril,MLA,account_money,45529.62,1042,Rej. by PF
fuera_de_rango,MLA,ticket,169989.23,2289,Pending
Abril,MLA,credit card,5783230.3,45669,Rej. Blacklist
fuera_de_rango,MLA,prepaid_card,4486.84,44,Rej. by Bank Other
Abril,MLA,prepaid_card,465410.91,4483,Rej. by User Error
Mayo,MLA,prepaid_card,621497.2,2750,Rej. by PF
Abril,MLA,digital_currency,59737.16,1411,Rej. by PF
Mayo,MLA,bank transfer,3235547.79,35362,Rej. by Bank Other
Abril,MLA,prepaid_card,3573520.33,29435,Insufficient Amount
fuera_de_rango,MLA,digital_currency,2317873.34,48474,Approved
Abril,MLA,bank transfer,303.79,24,Rej. by User Error
fuera_de_rango,MLA,account_money,3884.2,65,Rej. by PF
