mes,semana_category,site,platform,CVR_GENERAL,STEP_1,STEP_2,STEP_3,trafico
Abril,semana_1_abril,MCO,/web/desktop,0.699409707,0.810014401,0.890395436,0.969741519,63189
fuera_de_rango,semana_1_abril,MCO,/web/mobile,0.454998085,0.698965913,0.710958904,0.915606936,5222
fuera_de_rango,semana_1_abril,MCO,/mobile/ios,0.59865424,0.821833076,0.84672498,0.8603003,23927
fuera_de_rango,semana_1_abril,MCO,/web/desktop,0.705527638,0.815147164,0.891501541,0.970858441,13930
fuera_de_rango,semana_1_abril,MCO,/mobile/android,0.50380645,0.770240154,0.771005972,0.848359302,56089
Abril,semana_1_abril,MCO,/web/mobile,0.441500088,0.70256501,0.689898278,0.910875912,28265
Abril,semana_1_abril,MCO,/mobile/ios,0.59674677,0.816661051,0.846442415,0.863278283,127627
Abril,semana_1_abril,MCO,/mobile/android,0.49274571,0.760906104,0.768336964,0.842830138,304027
fuera_de_rango,semana_1_abril,MEC,/web/desktop,0.264,0.628,0.458598726,0.916666667,250
Abril,semana_1_abril,MEC,/web/mobile,0.123655914,0.644086022,0.210350584,0.912698413,930
fuera_de_rango,semana_1_abril,MEC,/mobile/android,0.154761905,0.578869048,0.42159383,0.634146341,672
Abril,semana_1_abril,MEC,/web/desktop,0.292850991,0.647717485,0.498670213,0.906666667,1161
fuera_de_rango,semana_1_abril,MEC,/web/mobile,0.139664804,0.681564246,0.262295082,0.78125,179
fuera_de_rango,semana_1_abril,MEC,/mobile/ios,0.189349112,0.686390533,0.474137931,0.581818182,169
Abril,semana_1_abril,MEC,/mobile/ios,0.166831194,0.67917078,0.465116279,0.528125,1013
Abril,semana_1_abril,MEC,/mobile/android,0.152941176,0.609363745,0.386918834,0.648676171,4165
Abril,semana_1_abril,MLA,/web/desktop,0.705833668,0.848871774,0.866047188,0.960104977,375767
fuera_de_rango,semana_1_abril,MLA,/mobile/android,0.574605102,0.825017979,0.751419755,0.926879884,553434
Abril,semana_1_abril,MLA,/mobile/android,0.56410818,0.824716422,0.739218756,0.925304719,2894966
fuera_de_rango,semana_1_abril,MLA,/web/mobile,0.441580905,0.734065554,0.660933082,0.910160428,11563
